"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CODE-ARDUINO";"DATASHEET";"DESCRIPTION";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"HEIGHT";"MANUFACTURER";"MANUFACTURER-PN";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"TP_SIGNAL_NAME";"VALUE";
"2";"MCP2515T-I_ST";"MCP2515T-I_ST";"SOP65P640X120-20N";"IC10, IC11";"Stand-Alone CAN Controller SPI TSSOP20 Microchip MCP2515T-I/ST, CAN Controller 1Mbit/s CAN 2.0B, 20-Pin TSSOP";"";"";"";"Stand-Alone CAN Controller SPI TSSOP20 Microchip MCP2515T-I/ST, CAN Controller 1Mbit/s CAN 2.0B, 20-Pin TSSOP";"";"";"1.2mm";"";"";"Microchip";"MCP2515T-I/ST";"";"579-MCP2515T-I/ST";"https://www.mouser.com/Search/Refine.aspx?Keyword=579-MCP2515T-I%2FST";"";"";"";"";"";"";"";
"1";"MINISMDC050F-2";"MINISMDC050F-2";"FUSC4632X62N";"F1";"LITTELFUSE - MINISMDC050F-2 - POLYSWITCH, 0.5A, 24V, SMD";"";"";"";"LITTELFUSE - MINISMDC050F-2 - POLYSWITCH, 0.5A, 24V, SMD";"";"";"0.62mm";"";"";"LITTELFUSE";"MINISMDC050F-2";"";"650-MINISMDC050F-2";"https://www.mouser.com/Search/Refine.aspx?Keyword=650-MINISMDC050F-2";"";"";"";"";"";"";"";
"1";"MINISMDC150F_24-2";"MINISMDC150F_24-2";"FUSC4632X194N";"F2";"LITTELFUSE - MINISMDC150F/24-2 - POLYSWITCH, SMD, 1812, 1.5A";"";"";"";"LITTELFUSE - MINISMDC150F/24-2 - POLYSWITCH, SMD, 1812, 1.5A";"";"";"1.94mm";"";"";"LITTELFUSE";"MINISMDC150F/24-2";"";"650-MINISMDC150F/24";"https://www.mouser.com/Search/Refine.aspx?Keyword=650-MINISMDC150F%2F24";"";"";"";"";"";"";"";
"4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H4, H5, H6";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"PESD0402-140";"PESD0402-140";"DIONC1005X43N";"D2, D3, D4, D5, D6, D7, D8, D13, D14";"TVS Diode Bi-Directional PESD0402-140 40V, SOD-923 2-Pin";"";"";"";"TVS Diode Bi-Directional PESD0402-140 40V, SOD-923 2-Pin";"";"";"0.43mm";"";"";"TE Connectivity";"PESD0402-140";"";"";"";"";"";"";"";"";"";"";
"1";"PRTR5V";"PRTR5V0U2X,215";"SOT190P230X110-4N";"D12";"USB ESD protection";"";"2209";"http://www.nxp.com/documents/data_sheet/PRTR5V0U2X.pdf";"";"http://www.digikey.com/product-detail/en/nxp-semiconductors/PRTR5V0U2X,215/568-4140-1-ND/1589981";"568-4140-1-ND";"";"NXP";"PRTR5V0U2X,215";"";"";"";"";"";"";"";"";"";"";"";"PRTR5V";
"1";"RC0201FR-0710KL";"RC0201FR-0710KL";"RESC0603X26N";"R10";"Thick Film Resistors - SMD 10K OHM 1%";"";"";"";"Thick Film Resistors - SMD 10K OHM 1%";"";"";"0.26mm";"";"";"YAGEO (PHYCOMP)";"RC0201FR-0710KL";"";"603-RC0201FR-0710KL";"https://www.mouser.com/Search/Refine.aspx?Keyword=603-RC0201FR-0710KL";"";"";"";"";"";"";"";
"1";"SARA-R410M-02B";"SARA-R410M-02B";"SARA-U201-03B";"IC2";"Size-optimized LTE Cat M1/NB1 and EGPRS modules";"";"";"";"Size-optimized LTE Cat M1/NB1 and EGPRS modules";"";"";"mm";"";"";"U-Blox";"SARA-R410M-02B";"";"";"";"";"";"";"";"";"";"";
"1";"SF56S006V4BR2000";"SF56S006V4BR2000";"SF56S006V4BR2000";"J1";"Memory Card Connectors microSIM LOW PROFILE PUSH-PUSH";"";"";"";"Memory Card Connectors microSIM LOW PROFILE PUSH-PUSH";"";"";"mm";"";"";"JAE Electronics";"SF56S006V4BR2000";"";"656-SF56S006V4BR2000";"https://www.mouser.com/Search/Refine.aspx?Keyword=656-SF56S006V4BR2000";"";"";"";"";"";"";"";
"1";"SN74AVC2T245RSWR";"SN74AVC2T245RSWR";"RSW(RPUQFNN10)";"U1";"Dual-Bit, 2-DIR pin Dual-Supply Bus Transceiver w/ Configurable Voltage Translation, 3-State Output";"";"";"";"Dual-Bit, 2-DIR pin Dual-Supply Bus Transceiver w/ Configurable Voltage Translation, 3-State Output";"";"";"mm";"";"";"Texas Instruments";"SN74AVC2T245RSWR";"";"595-SN74AVC2T245RSWR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74AVC2T245RSWR";"";"";"";"";"";"";"";
