Netlist

Exported from 001000-003.sch at 6/10/2019 1:29 PM

EAGLE Version 9.4.0 Copyright (c) 1988-2019 Autodesk, Inc.

Net             Part     Pad      Pin        Sheet

+1V8            C44      1        1          1
N$1             C20      2        2          1
                C21      2        2          1
                FB1      2        2          1
                IC1      6        VDDANA     1

N$2             C41      1        1          1
                IC2      56       ANT        1

N$4             IC2      23       GPIO2      1
                R15      2        2          1

N$5             C2       2        2          2
                IC4      1        BOOT       2

N$6             C2       1        1          2
                D1       1        K          2
                IC4      8        PH         2
                L1       1        1          2

N$7             C3       2        2          2
                IC4      6        COMP       2
                R3       2        2          2

N$8             C4       2        2          2
                R3       1        1          2

N$9             IC4      5        VSENSE     2
                R1       1        1          2
                R2       2        2          2

N$10            D9       2        A          2
                R4       1        1          2

N$11            C5       2        2          2
                IC4      4        SS         2

N$12            C7       1        -          2
                D9       1        K          2
                R5       2        2          2
                R6       2        2          2

N$13            IC4      3        EN         2
                R7       2        2          2
                R8       1        1          2

N$14            R6       1        1          2

N$15            D11      2        A          3
                K1       7        RESET_COIL_- 3
                Q1       3        D2         3

N$16            C38      1        1          2
                IC5      2        SW         2
                L2       1        1          2

N$18            IC5      6        FB         2
                R10      2        2          2
                R9       1        1          2

N$19            D10      2        A          3
                K1       12       SET_COIL_- 3
                Q1       6        D1         3

N$20            C38      2        2          2
                IC5      4        BST        2

N$22            LED3     2        A          1
                R15      1        1          1

N$23            D12      4        4          6
                J5       1        1          6

N$24            IC2      8        DCD        1
                TP3      TP       TP         1

N$25            IC1      8        PB09       1

N$26            C29      1        1          1
                IC1      43       VDDCORE    1

N$27            IC10     9        OSC1       4
                IC12     1        1          4

N$28            Q6       2        D_1        3
                Q6       4        D_2        3
                R21      1        1          3

N$29            Q5       2        D_1        3
                Q5       4        D_2        3
                R20      1        1          3

N$30            IC10     8        OSC2       4
                IC12     3        3          4

N$31            IC9      14       STBN1      4
                R30      1        1          4

N$32            IC11     9        OSC1       4
                IC13     1        1          4

N$33            IC11     8        OSC2       4
                IC13     3        3          4

N$34            IC9      8        STBN2      4
                R31      1        1          4

N$35            LED4     2        A          5
                U$1      4_TIMEPULSE 4_TIMEPULSE 5

N$36            LED4     1        K          5
                R32      1        1          5

N$37            C43      1        1          6
                D12      1        1          6
                J5       10       SH         6
                J5       11       SH         6
                J5       6        SH         6
                J5       7        SH         6
                J5       8        SH         6
                J5       9        SH         6
                R33      2        2          6

N$38            R13      2        2          5
                U$1      14_VCC_RF 14_VCC_RF  5

N$39            IC11     19       !RESET     4
                R25      1        1          4

N$40            C40      2        2          5
                L3       1        1          5
                R13      1        1          5

N$42            IC10     19       !RESET     4
                R27      1        1          4

N$43            C41      2        2          1
                C42      1        1          1
                L4       2        2          1

